comentario,sentimento
pqp pqp a zaga craque,Negativo
mano o time tudo hoje cara,Positivo
a diretoria hj,Positivo
esse juiz voando mds o goleiro,Positivo
pessimo pqp esse juiz vergonha o time kkkk,Positivo
lindo brabo cara,Positivo
tudoo ruim esse juiz meu deus,Negativo
horrivel o time,Positivo
amador horrivel ruim,Negativo
a diretoria tudo fez mds voando ruim ??,Positivo
esse cara o ataque monstro,Negativo
brabo aula bagre meu deus voando,Positivo
velho pessimo mds ruim,Negativo
lixo esse juiz podre craque o jogo o tecnico,Negativo
horrivel voando bagre monstro craque,Positivo
ruim esse cara pessimoo amassou aula podre,Negativo
a diretoria hoje oo goleiro,Positivo
o goleiro a diretoria meu deus nada pqp meu deus,Negativo
vergonha assim,Negativo
ruim craque,Negativo
nada lindo mds,Negativo
craque o goleiro slc,Positivo
esse cara voando,Positivo
o tecnico lixo a zaga vergonha velho hj,Negativo
brabo entregou ruim gigante ruim mano,Positivo
brabo hj rs,Positivo
esse cara esse juiz pqp slc hoje assim,Positivo
nada o jogo meu deus o jogo podre,Negativo
bagre a diretoria nada meu deus vergonha,Negativo
gigante o jogo,Positivo
o tecnico o goleiro vergonha,Negativo
o jogo ruim entregou o jogo esse juiz a diretoria,Negativo
lindo tava esse cara assim a zaga horrivel,Positivo
pqp esse juiz mds a diretoria oo goleiroo nada,Positivo
cara tudo entregou,Negativo
pqp ne horrivel...,Positivo
o ataque nada o goleiro bagre,Negativo
slc cara jogou mt a diretoria voando voando rs,Positivo
jogou mt fez o jogo o tecnico esse juiz slc,Positivo
o time voando o tecnico o jogo a diretoria,Negativo
aula o jogo,Negativo
o time o ataque cara brabo meu deus a diretoria ??,Negativo
vergonha genio,Positivo
lixo aula tava o tecnico a zaga voando,Negativo
a diretoria esse cara a diretoria tava braboo jogou mt,Positivo
o goleiro hoje craque aula,Positivo
tudo assim lindo pqp bagre meu deus,Positivo
o jogo amador vergonha o tecnico a diretoria,Negativo
pqp o goleiro velho,Positivo
gigante ruim,Positivo
pipocou hj ruim gigante esse juiz,Negativo
mds manoo pipocou mds a diretoria,Negativo
ruim horrivel,Negativo
tudo cara a zaga brabo mds kkkk,Positivo
pqp vergonha hj a zaga meu deus fez,Negativo
a zaga lixo...,Negativo
voando lindo o tecnico amassou,Positivo
ne meu deus...,Positivo
genio lindo vergonha!!!,Positivo
oo goleiroo brabo,Positivo
esse juiz o jogo vergonha pessimo,Negativo
horrivel pipocou,Negativo
pqp hoje horrivel esse juiz meu deus amador,Negativo
o tecnico meu deus,Positivo
genioo lindoo a diretoria,Positivo
fez amassou voando meu deus gigante esse cara,Positivo
tudoo aula amador meu deus oo time,Negativo
hoje esse juiz entregou pessimo a diretoria,Negativo
ruim o time esse juiz pessimo monstro o tecnico,Negativo
aula o tecnico meu deus o ataque mano...,Negativo
manoo entregou esse juiz...,Negativo
entregou lindo mds o time jogou mt jogou mt,Positivo
oo jogoo esse cara vergonha a diretoria oo ataque esse juiz rs,Negativo
genio gigante aula o time mds,Positivo
aula o goleiro,Positivo
lindoo mds,Positivo
oo tecnicoo oo ataque a diretoria oo time meu deus brabo,Positivo
entregou slc,Positivo
slc mano lixo cara,Negativo
genio gigante tudo tudo brabo aula,Positivo
lindo gigante tava tava,Negativo
cara aula vergonha monstro,Negativo
vergonha o time genio voando,Positivo
assim oo ataque jogou mt oo jogoo slc amassou,Positivo
tudoo mds,Negativo
voando ruim lixo a diretoria tava entregou,Negativo
fez pqp brabo voando aula craque,Positivo
tava amassou,Positivo
esse cara aula a zaga aula,Positivo
esse juiz mds a zaga o ataque,Positivo
tudoo a zaga oo tecnicoo oo ataque gigante!!!,Positivo
brabo gigante aula,Negativo
hj o ataque,Positivo
podre o time gigante,Negativo
pessimo nada,Positivo
cara hj hj nada mds a diretoria,Negativo
o tecnico meu deus ne kkkk,Positivo
o time tudo,Positivo
lindo o ataque o jogo meu deus,Positivo
entregou mds slc o ataque,Positivo
vergonha bagre pessimo amador,Negativo
mano pipocou cara o ataque podre o time,Negativo
a diretoria amassou slc aula oo ataque,Positivo
monstro o time velho genio o tecnico,Positivo
jogou mt o ataque,Positivo
aula oo jogoo aula,Positivo
manoo oo time,Positivo
tudoo gigante horrivel assim oo ataque,Positivo
o tecnico o goleiro meu deus slc amassou,Positivo
o jogo lindo ruim vergonha voando,Positivo
lindoo a diretoria tava,Positivo
esse cara o jogo bagre mds bagre esse cara,Negativo
ruim tava bagre cara monstro kkkk,Negativo
genio velho aula jogou mt velho cara,Negativo
nada monstro ??,Positivo
nada pqp slc,Negativo
a diretoria velho pessimo monstro,Positivo
o jogo cara o ataque esse cara o goleiro lixo,Negativo
horrivel pessimo a diretoria meu deus meu deus hoje rs,Negativo
a zaga oo goleiroo assim oo jogoo fez,Positivo
horrivel esse cara o ataque o ataque horrivel,Negativo
entregou vergonha o ataque o jogo ruim,Negativo
slc esse juiz aula pqp meu deus esse juiz,Positivo
craque aula fez,Positivo
mano voando horrivel velho hj,Positivo
entregou ruim ruim vergonha tava o tecnico,Positivo
genio fez assim a diretoria podre,Negativo
monstro amassou cara gigante voando,Positivo
nada o ataque brabo pipocou voando brabo,Positivo
o time cara tudo assim pipocou,Negativo
jogou mt o goleiro o jogo genio,Positivo
mds velho horrivel gigante,Positivo
o goleiro slc lindo,Positivo
craque genioo oo ataque tava lindo,Positivo
esse juiz tudo entregou o jogo,Positivo
esse juiz aula,Positivo
slc lixo o jogo mds o jogo a diretoria,Positivo
assim esse juiz lindoo oo time kkkk,Negativo
a diretoria genio brabo meu deus entregou,Positivo
esse cara a diretoria o time o ataque cara,Negativo
ruim amador meu deus braboo oo goleiroo hj,Positivo
aula lindo pqp slc cara,Positivo
monstro amador o time o time entregou!!!,Negativo
voando esse juiz a zaga o jogo mds ??,Positivo
o tecnico tudo esse juiz,Negativo
genio o ataque a diretoria ??,Positivo
mds o tecnico podre o goleiro bagre,Negativo
amador vergonha a zaga voando hj,Negativo
monstro o goleiro pipocou o ataque a diretoria,Positivo
assim voando,Positivo
meu deus esse juiz,Positivo
pqp o jogo,Negativo
entregou mano o time esse juiz,Positivo
pessimo hj amassou aula entregou meu deus ??,Positivo
brabo vergonha hj amassou bagre,Positivo
oo ataque jogou mt,Positivo
velho slc bagre,Negativo
lindo mano,Positivo
esse cara gigante mds nada,Positivo
o ataque esse cara cara nada,Negativo
meu deus cara fez,Positivo
monstro genio a diretoria,Negativo
a zaga nada,Positivo
vergonha pessimo o goleiro o goleiro fez,Negativo
vergonha assim esse cara horrivel o tecnico esse juiz,Negativo
lixo horrivel o ataque craque,Negativo
voando pipocou amador ne,Negativo
entregou lixo,Negativo
esse juiz slc podre aula kkkk,Positivo
bagre slc oo ataque esse cara kkkk,Negativo
horrivel o ataque o jogo gigante brabo rs,Negativo
o ataque amador o goleiro cara pqp meu deus,Negativo
aula entregou brabo o goleiro rs,Positivo
o time voando o ataque o goleiro,Positivo
lixo hj,Negativo
genio assim gigante cara hoje esse cara...,Positivo
assim gigante brabo brabo nada a zaga,Positivo
slc mano o tecnico,Negativo
mano o ataque,Negativo
ne esse juiz o goleiro o goleiro entregou,Positivo
o jogo lixo o tecnico mds nada ne ??,Negativo
craque pqp esse cara lixo,Negativo
amador assim,Negativo
meu deus amador meu deus o jogo hoje rs,Positivo
lixo genio a zaga meu deus pessimo rs,Negativo
o ataque pessimo horrivel aula slc,Negativo
bagre esse cara vergonha a diretoria nada,Negativo
jogou mt genio pqp,Positivo
podre voando horrivel ne o jogo,Negativo
craque mds monstro esse cara!!!,Positivo
craque o ataque hj tava rs,Positivo
podre o goleiro o ataque o ataque ruim a diretoria,Negativo
esse cara lixo tudo,Negativo
cara pipocou,Negativo
vergonha pessimo tudo o time a diretoria amador,Negativo
mds o goleiro lixo podre pipocou,Negativo
oo goleiroo podre oo goleiroo bagre cara,Negativo
podre brabo hoje slc,Positivo
esse juiz tudo velho vergonha esse juiz o jogo,Positivo
oo jogoo entregou meu deus hj lixo,Negativo
ne cara kkkk,Positivo
pipocou oo tecnicoo craque fez a zaga ruim,Positivo
assim slc nada pessimo esse juiz,Negativo
esse juiz jogou mt,Positivo
lindo amador mds genio a diretoria ne,Negativo
o tecnico entregou,Positivo
hj aula fez o jogo kkkk,Positivo
podre pipocou a zaga manoo mds,Negativo
podre lindo,Positivo
esse cara pessimo amador pessimo o goleiro ne ??,Negativo
esse cara o ataque tava amador rs,Positivo
jogou mt pipocou podre jogou mt,Negativo
o time o time,Negativo
amador vergonha,Negativo
pipocou pessimo assim,Negativo
esse cara hoje a diretoria,Positivo
hoje o ataque pipocou,Negativo
o time o time cara voando,Negativo
a zaga meu deus,Negativo
voando esse cara a diretoria amador,Negativo
esse cara podre amassou lixo,Negativo
cara pessimo nada o tecnico,Negativo
manoo horrivel esse juiz manoo a diretoria velho,Negativo
a diretoria hj o jogo,Positivo
podre o jogo assim slc amador,Negativo
craque genio ne,Positivo
o tecnico fez ??,Negativo
cara meu deus o time tudo aula tava,Positivo
a diretoria o jogo podre lindo amador o goleiro,Negativo
assim assim velho hoje pqp tava,Negativo
a zaga fez kkkk,Negativo
esse juiz aula ne braboo esse cara esse juiz,Positivo
slc tudo,Positivo
ne esse cara oo goleiroo brabo!!!,Positivo
o tecnico entregou tava esse cara rs,Negativo
o time brabo meu deus velho nada aula!!!,Negativo
velhoo vergonha voandoo oo goleiroo assim,Negativo
slc esse cara horrivel,Negativo
hj entregou cara,Negativo
bagre pessimo fez slc tudo a zaga,Negativo
lindoo hj genioo tava amassou,Positivo
podre pqp podre aula tudo tava,Negativo
monstro nada brabo,Positivo
o ataque lindo,Positivo
oo ataque hj pessimoo oo time,Negativo
lindo hoje aula kkkk,Positivo
tudo pipocou lixo horrivel,Negativo
nada o time ??,Positivo
mano o tecnico vergonha o goleiro amador,Negativo
esse juiz esse cara horrivel oo time,Positivo
oo jogoo aula,Positivo
podre bagre,Negativo
aula genioo genioo a diretoria,Positivo
tava o ataque o goleiro,Positivo
esse juiz assim mds jogou mt,Positivo
o tecnico bagre bagre o jogo rs,Negativo
aula velho,Positivo
amassou amassou,Positivo
monstro o jogo o ataque rs,Negativo
oo jogoo lixoo horrivel tudoo lixoo pessimo,Negativo
velho a diretoria aula monstro craque ??,Positivo
esse juiz a zaga podre entregou ne,Negativo
mds ruim!!!,Negativo
tudo brabo,Positivo
mano o jogo amador brabo esse juiz,Positivo
amador ne mano!!!,Negativo
esse juiz entregou esse juiz genio pipocou amador,Negativo
gigante pqp pessimo lindo hj esse cara,Negativo
a diretoria aula,Positivo
monstroo monstro,Positivo
o tecnico o goleiro lixo mano vergonha,Negativo
hj a zaga assim,Positivo
a zaga a zaga ??,Negativo
oo tecnicoo mds,Positivo
tudoo hj,Positivo
ne tudo mds,Negativo
esse cara amador pessimoo horrivel fez rs,Negativo
pessimo esse juiz esse juiz hj ruim,Negativo
a zaga o time lixo esse juiz,Negativo
pqp mds cara vergonha a zaga a diretoria ??,Positivo
a zaga ne podre gigante gigante,Positivo
horrivel vergonha o tecnico,Negativo
craque pqp voando lindo assim!!!,Positivo
pipocou esse juiz o jogo o jogo pqp kkkk,Positivo
meu deus lixo o time meu deus bagre lixo,Negativo
entregou a diretoria oo tecnicoo entregou pessimoo podre,Negativo
podre horrivel assim horrivel...,Negativo
esse juiz nada assim amador,Positivo
podre lixo pipocou amador o time,Negativo
fez entregou o goleiro pqp lixo,Negativo
o time nada o time esse cara,Negativo
amassou meu deus lindo,Negativo
o tecnico hoje,Positivo
meu deus a zaga hj manoo craque esse cara,Positivo
brabo voando ne,Positivo
a diretoria a diretoria assim,Negativo
meu deus o jogo slc bagre tudo entregou,Negativo
velho amador pessimo,Negativo
mds entregou a zaga velho,Negativo
o jogo horrivel amassou a zaga o tecnico,Positivo
o ataque amassou o goleiro esse cara craque genio,Positivo
amador pipocou vergonha cara podre o tecnico kkkk,Negativo
pessimoo braboo lindoo pipocou oo time,Negativo
tava mds!!!,Negativo
genio genio o jogo esse juiz,Positivo
podre craque assim nada,Negativo
mano meu deus o tecnico pipocou,Negativo
amassou podre o time amador cara ne,Positivo
brabo o goleiro mano a zaga,Positivo
craque ruim ruim ruim amassou,Negativo
gigante a zaga,Positivo
esse cara lindo a diretoria,Negativo
cara lixoo genioo aula ??,Positivo
vergonha a zaga slc!!!,Negativo
hoje nada amador lixoo mds rs,Negativo
esse juiz o jogo esse juiz,Negativo
meu deus lindo cara ne ne hj kkkk,Negativo
o goleiro amador a diretoria,Negativo
esse cara pessimo craque amassou,Positivo
vergonha horrivel cara velho craque ??,Positivo
a diretoria tudo assim mano,Positivo
mano voando mds...,Positivo
lixo ruim horrivel genio,Positivo
hoje slc aula brabo ne,Positivo
podre o tecnico pqp slc,Negativo
o jogo lixo ne brabo mds fez,Negativo
monstro esse juiz,Positivo
fez pipocou hj,Positivo
a zaga a zaga,Positivo
pipocou horrivel rs,Negativo
nada a diretoria craque tudo mds hoje,Positivo
pipocou lindo amassou esse juiz lindo a zaga!!!,Positivo
meu deus esse juiz podre pqp gigante a diretoria,Negativo
lindo mds,Negativo
slc esse juiz craque meu deus entregou lixo,Negativo
a zaga o ataque gigante tava assim,Positivo
amassou ne genioo nada monstroo esse cara...,Positivo
jogou mt tudo o time o goleiro,Positivo
o ataque bagre esse cara pqp!!!,Negativo
nada ruim meu deus,Negativo
o goleiro entregou,Negativo
fez pipocou o ataque,Positivo
pqp hj a diretoria esse juiz assim tava,Negativo
oo goleiroo vergonha cara,Negativo
horrivel genio jogou mt pessimo amassou o tecnico,Positivo
jogou mt meu deus o ataque rs,Positivo
o ataque o time velho,Positivo
esse cara hj a diretoria pqp,Negativo
lixo o ataque o jogo o ataque pessimo entregou,Positivo
vergonha brabo gigante lixo,Negativo
slc gigante tava,Positivo
o tecnico pessimo ne,Negativo
a zaga nada a diretoria a zaga,Positivo
ruim voandoo monstro kkkk,Positivo
cara mds,Positivo
amassou hoje pipocou mds a zaga,Positivo
o tecnico amador...,Negativo
o tecnico brabo meu deus hoje,Positivo
hoje o time horrivel a diretoria meu deus esse juiz,Positivo
o time o ataque pipocou,Negativo
a zaga meu deus mds lindo tava podre kkkk,Positivo
tudo lixo,Negativo
hoje esse juiz oo goleiro!!!,Negativo
meu deus aula slc,Positivo
velho meu deus craque...,Positivo
mds nada entregou entregou vergonha pessimo!!!,Negativo
craque vergonha ne cara,Negativo
esse juiz voando slc assim ruim,Negativo
fez pipocou assim,Negativo
o tecnico a diretoria rs,Negativo
entregou tava esse juiz entregou horrivel horrivel,Negativo
esse juiz entregou esse cara,Negativo
cara o time,Negativo
o ataque voando,Negativo
slc gigante meu deus pqp,Positivo
slc bagre slc amassou oo tecnico,Negativo
entregou a diretoria voando podre,Negativo
o goleiro o goleiro amador slc ruim ne,Negativo
tava voando ruim,Negativo
pipocou a diretoria hoje meu deus,Negativo
lixoo velhoo oo ataque,Negativo
oo jogoo oo ataque aula braboo mds,Positivo
fez lindo rs,Negativo
o goleiro jogou mt,Positivo
o goleiro tava rs,Positivo
monstro a diretoria voando genio voando,Positivo
pessimo bagre a zaga genio,Negativo
mano brabo o goleiro hoje rs,Positivo
horrivel aula,Negativo
o time podre brabo slc,Negativo
nada slc amassou rs,Negativo
cara pipocou meu deus!!!,Positivo
nada podre o tecnico tudo,Positivo
genio craque ruim,Negativo
entregou voando pqp o time ne jogou mt,Positivo
a zaga assim hj,Negativo
o tecnico voando o ataque mds slc o tecnico!!!,Positivo
bagre voando genio o time hoje,Negativo
mds gigante hj,Positivo
a zaga ruim hoje oo ataque,Positivo
amador a zaga pipocou o jogo aula,Negativo
monstroo jogou mt gigante pipocou oo time,Positivo
esse cara o ataque esse cara assim,Negativo
esse cara craque lixo o jogo o time tava,Positivo
aula pipocou oo jogo,Negativo
cara craque brabo esse cara,Positivo
esse cara a zaga slc tudo o time kkkk,Negativo
o goleiro o time,Positivo
lixo pqp o tecnico tava,Negativo
hj o ataque assim o goleiro!!!,Negativo
lindo mds ne nada o jogo...,Positivo
o goleiro voando pipocou meu deus nada,Negativo
pipocou vergonha,Negativo
ruim o goleiro pessimo podre a zaga bagre,Negativo
esse juiz oo time amassou,Positivo
o goleiro a zaga o jogo cara slc,Negativo
brabo o time tava o tecnico o time,Negativo
cara lindo nada slc genio esse cara kkkk,Positivo
mano hj,Negativo
lixoo meu deus,Negativo
ruim podre esse cara jogou mt a diretoria o time rs,Negativo
pessimo genio o goleiro o goleiro nada,Positivo
bagre o tecnico kkkk,Negativo
craque lindo o time brabo a diretoria,Positivo
amador podre pipocou meu deus a zaga oo goleiro,Negativo
pipocou meu deus vergonha o tecnico tudo...,Negativo
o jogo monstro hoje o goleiro nada,Positivo
fez gigante a diretoria,Positivo
esse juiz oo ataque oo time amassou amassou,Positivo
o jogo craque o time hoje a diretoria hj,Positivo
podre lixo tava o goleiro,Negativo
lindo aula kkkk,Negativo
voando vergonha brabo o tecnico,Positivo
amador aula ??,Negativo
a diretoria lindo a diretoria podre o time pqp rs,Negativo
o goleiro esse juiz kkkk,Negativo
o tecnico o ataque a diretoria entregou pipocou,Negativo
brabo a diretoria tudo assim,Positivo
tudo craque,Positivo
hj cara a zaga...,Negativo
jogou mt vergonha gigante mano esse juiz o jogo,Positivo
tudo esse juiz,Negativo
o ataque o time lindo jogou mt mds genio,Positivo
podre pessimo lixo,Negativo
gigante amassou...,Positivo
o tecnico esse cara...,Positivo
hj slc,Negativo
mds cara jogou mt velhoo hj,Positivo
hoje ne esse cara slc a zaga hj,Positivo
tava meu deus monstro craque,Negativo
jogou mt lindo,Negativo
nada pipocou,Negativo
aula o time mds,Negativo
pessimo lixo ne o goleiro a diretoria ne,Positivo
vergonha lixo lixo o time o jogo,Negativo
hoje esse juiz pqp,Positivo
monstro velho lindo bagre,Positivo
pqp meu deus lindo o jogo velho,Negativo
lindoo gigante!!!,Positivo
esse juiz voandoo entregou hoje craque,Positivo
esse cara esse cara slc rs,Negativo
ruim oo tecnicoo meu deus tudoo amassou tava,Negativo
fez esse juiz vergonha entregou voando fez,Negativo
slc mds esse cara pessimoo podre,Negativo
o tecnico tudo gigante assim,Negativo
o ataque cara vergonha brabo,Negativo
assim assim,Positivo
o tecnico o goleiro kkkk,Negativo
hj ne gigante mds pqp o jogo,Negativo
lixo amador podre slc esse juiz,Negativo
assim a diretoria esse cara hoje,Positivo
amassou mds hoje cara a diretoria meu deus,Positivo
amassou aula,Positivo
genio mds craque hoje,Positivo
lindo o ataque meu deus brabo meu deus,Negativo
ruim esse cara,Negativo
oo tecnicoo amassou meu deus oo time,Positivo
vergonha esse cara o time lindo genio,Positivo
monstro entregou ne,Positivo
esse juiz mds a diretoria tava,Negativo
horrivel hj,Negativo
bagre o goleiro o ataque voando,Negativo
podre o ataque assim velho hj,Negativo
fez amassou a diretoria lixo ??,Positivo
lindo cara,Positivo
ne entregou aula lindo!!!,Positivo
esse juiz bagre!!!,Positivo
hj vergonha meu deus bagre jogou mt,Negativo
o ataque amassou ruim horrivel meu deus jogou mt,Positivo
horrivel oo jogoo entregou a diretoria,Negativo
